player_name,draft_round,draft_number,pts,ast_pct,reb_pct,ts_pct,usg_pct,champ,all_star
Chris Whitney,2,47,6.5625,0.256125,0.099,0.53175,0.182,0,0
Chris Wilcox,1,8,7.627272727,0.06072727273,0.2881818182,0.5753636364,0.1840909091,0,0
Christian Laettner,1,3,9.733333333,0.1394444444,0.2482222222,0.5436666667,0.1857777778,0,1
Christian Wood,0,0,11.87142857,0.07471428571,0.2915714286,0.5938571429,0.2224285714,0,0
Chuck Hayes,0,0,3.427272727,0.09518181818,0.3109090909,0.5180909091,0.1060909091,0,0
Chucky Atkins,0,0,8.827272727,0.2330909091,0.07772727273,0.502,0.1897272727,0,0
Chucky Brown,2,43,4.466666667,0.07783333333,0.21,0.4751666667,0.1576666667,1,0
CJ McCollum,1,10,18.66,0.1753,0.1117,0.5485,0.2512,0,0
CJ Miles,2,34,8.24375,0.0831875,0.122625,0.4866875,0.193,0,0
Clar. Weatherspoon,1,9,7.955555556,0.066,0.2968888889,0.5322222222,0.156,0,0
Clifford Robinson,2,36,12.51818182,0.1281818182,0.1495454545,0.5037272727,0.1997272727,0,1
Clint Capela,1,25,11.66666667,0.05333333333,0.3925555556,0.5994444444,0.1768888889,0,0
Cody Zeller,1,4,8.2,0.0949,0.2926,0.5898,0.1662,0,0
Cole Aldrich,1,11,2.5875,0.0705,0.359375,0.5425,0.138625,0,0
Collin Sexton,1,8,18.42,0.165,0.095,0.5584,0.2582,0,0
Corey Brewer,1,7,7.746153846,0.09876923077,0.1496153846,0.4970769231,0.1685384615,1,0
Corey Maggette,1,13,15.5,0.1210714286,0.1917857143,0.5669285714,0.2512142857,0,0
Corie Blount,1,25,3.5875,0.05925,0.30625,0.495875,0.1205,0,0
Corliss Williamson,1,13,11.11818182,0.08745454545,0.1914545455,0.5354545455,0.2312727273,1,0
Cory Alexander,1,29,5.083333333,0.293,0.131,0.4636666667,0.19,0,0
Cory Joseph,1,29,6.666666667,0.2019166667,0.1200833333,0.5200833333,0.1553333333,1,0
Courtney Lee,1,22,9.083333333,0.09291666667,0.1094166667,0.5515,0.15825,0,0
Craig Smith,2,36,7.233333333,0.08416666667,0.2721666667,0.5823333333,0.1986666667,0,0
Cristiano Felicio,0,0,3.833333333,0.09116666667,0.3021666667,0.6051666667,0.123,0,0
Cuttino Mobley,2,41,15.68181818,0.1209090909,0.116,0.5324545455,0.2096363636,0,0
D.J. Augustin,1,9,9.414285714,0.2609285714,0.08542857143,0.5588571429,0.1860714286,0,0
D.J. Wilson,1,17,4.62,0.0988,0.223,0.5792,0.1594,0,0
D'Angelo Russell,1,2,17.925,0.30825,0.11675,0.540875,0.271625,0,1
Daequan Cook,1,21,6.133333333,0.0695,0.1411666667,0.4918333333,0.179,0,0
Dahntay Jones,1,20,5.707692308,0.09461538462,0.1375384615,0.4884615385,0.1906923077,1,0
Dale Davis,1,13,6.572727273,0.05236363636,0.3304545455,0.5220909091,0.1273636364,0,1
Damian Jones,1,30,4.414285714,0.05757142857,0.2277142857,0.6495714286,0.1274285714,2,0
Damian Lillard,1,6,25.5,0.3044545455,0.1200909091,0.5860909091,0.2883636364,0,7
Damien Wilkins,0,0,5.65,0.1071,0.1424,0.496,0.1606,0,0
Damion Lee,0,0,8.4,0.09283333333,0.1581666667,0.5698333333,0.1613333333,1,0
Damon Jones,0,0,5.981818182,0.1962727273,0.09236363636,0.5319090909,0.1586363636,0,0
Damon Stoudamire,1,7,12.46666667,0.29025,0.1236666667,0.4948333333,0.20775,0,0
Damyean Dotson,2,44,6.04,0.1078,0.1194,0.5168,0.1494,0,0
